Artiste; Titre; BPM
Jennifer Paige; Crush; 115.050003
Jerry Lee Lewis; Breathless; 85.519997
Jerry Lee Lewis; Great Balls of Fire; 162.199997
Jimmy Sommerville; Comment Te Dire Adieu; 124.690002
Jimmy Sommerville; You Make Me Feel; 134.979996
Joan Jett; I Love Rock'n'roll; 95.019997
Joe; I Wanna Know; 121.919998
Joe Cocker; Unchain my Heart; 117.769997
Joey Ramone; What a Wonderful World; 84.120003
Johnny Halliday; Allumer Le Feu; 143.589996
Johnny Halliday; Noir C'est Noir & Les Coups; 138.789993
Jp Francois; Je Te Survivrai; 117.919998
Julie Piétri; Eve, Lève-Toi; 101.959999
Junior Senior; Move your Feet; 118.820000
Karine Costa; I Say a Little Prayer; 132.029999
Kate Ryan; Désenchantée; 139.889999
Kate Ryan; Libertine; 138.000000
Kazéro; Thai Na Na; 134.059998
Kenny Loggins; Footloose; 87.019997
Kenny Loggins; Lead on Me; 150.089996
Kim Carnes; Bette Davis Eyes; 125.199997
Kim Wilde; Kids in America; 160.029999
Kim Wilde; Water on Glass; 146.949997
Kim Wilde; You Keep Me Hanging on; 121.849998
Kimera; The Lost Opera; 126.959999
King of House; Bad; 128.000000
King of House; Beat it; 132.009995
King of House; Billy Jean; 128.000000
King of House; Can you Feel it; 125.000000
King of House; Don't Stop'til you Get Enough; 130.009995
King of House; Thriller; 128.029999
Kinito; La Maison De Disque; 85.000000
Kiss; I Was Made For Lovin' you; 128.860001
Kool & the Gang; Celebration (feat. Lulu); 125.129997
Kool & the Gang; Fresh (feat. Liberty X); 116.989998
Kool & the Gang; Hollywood Swingin' (feat. Jamiroquai); 113.000000
Kool & the Gang; Jungle in my House; 122.019997
Kool & the Gang; Ladies Night (feat. Atomic Kitten); 112.099998
Kool & the Gang; Steppin' Out; 116.699997
Koto; Visitors; 119.769997
Kylie Minogue; Can't Get you Out of my Head; 125.989998
Kylie Minogue; Come Into my World; 125.019997
Kylie Minogue; In your Eyes; 124.019997
Kylie Minogue; Love at First Sight; 125.019997
L5; Maniac; 159.000000
L5; Question De Survie; 115.989998
Lalo Schifrin; Mission Impossible; 115.099998
Laroche Valmont; T'as Le Look Coco; 126.339996
Lash; Beauty Queen; 136.059998
Laurent Voulzy; Rockollection; 130.220001
Laurent Wolf; Another Brick; 133.000000
Laurent Wolf; Rock Machine; 128.000000
Lene Marlin; Where I'm Headed; 120.000000
Lenny Kravitz; Are you Gonna Go my Way; 129.119995
Lenny Kravitz; Mr. Cab Driver; 133.589996
Les Calamités; Vélomoteur; 157.369995
Les Chats Sauvages; Twist a Saint Tropez; 90.419998
Les Coco Girls; Ce Mec Est Too Much; 88.449997
Les Connards; Comme Des Connards; 146.039993
Les Enfoirés; J'attendrai; 132.369995
Les Enfoires; La Chanson Des Restos; 148.330002
Les Enfoirés; Le Brunes Comptent Pas Pour Des Prunes; 135.479996
Les Enfoirés; Le pouvoir des fleurs; 119.129997
Les Inconnus; Isabelle (A Les Yeux Bleus); 88.839996
Les Inconnus; Negra Bouch'beat (C'est Toi Que Je T'aime); 85.089996
Les Inconnus; Tranxen.; 132.330002
Les Rita Mitsouko; C'est Comme Ça; 88.230003
Les Rita Mitsouko; Les Histoires D'amour; 128.729996
Les Rita Mitsouko; Marcia Baïla; 126.800003
Les Vagabonds; Le Temps Des Yéyés; 88.410004
Lio; Banana Split; 156.110001
Lipps, Inc.; Funkytown; 122.379997
Liquido; Narcotic; 102.000000
Little Eva; The Locomotion; 129.759995
Little Richard; Good Golly Miss Molly; 84.690002
Little Richard; Long Tall Sally; 97.389999
Little Richard; Lucille; 142.970001
Little Richard; Tutti Frutti; 93.940002
Los Lobos; La Bamba; 156.860001
Lou Bega; Mambo No.5; 87.050003
Louis Prima; Just a Giggolo; 122.339996
Louise Attaque; Amours; 149.529999
Louise Attaque; J't'emmène Au Vent; 137.529999
Luke; La Sentinelle; 94.029999
M; Le Complexe Du Corn Flakes; 119.989998
M; Monde Virtuel; 120.029999
M; Qui De Nous Deux; 124.599998
M People; Moving on Up; 125.059998
MC Hammer; U Can't Touch this; 133.399994
Mad'house; Holiday; 128.389999
Mad'house; Like a Prayer; 127.500000
Madison Avenue; Don't Call Me Baby; 124.550003
Madness; One Step Beyond; 154.839996
Madness; Our House; 122.199997
Madonna; Get Together; 124.059998
Madonna; Hollywood; 126.029999
Madonna; Hung Up; 124.989998
Madonna; Material Girl; 134.559998
Madonna; Sorry; 133.029999
Marc Lavoine; Je Me Sens Si Seul; 140.500000
Marc Lavoine; Le Parking Des Anges; 129.669998
Marc Lavoine; Vogue Le Magazine; 152.449997
Mark Knopfler; What it is; 122.029999
Martha and the Muffins; Echo Beach; 163.449997
Martin Circus; Marylène; 95.940002
Martin Solveig; Everybody; 128.029999
Martin Solveig; Jealousy (Lp Edit); 124.989998
Martin Solveig; Rejection; 125.029999
Martin Solveig; Rocking Music; 127.120003
Matmatah; L'apologie; 124.029999
Matmatah; Lambé An Dro; 120.019997
Michael Gray; The Week-End; 127.019997
Michael Jackson; Bad; 114.139999
Michael Jackson; Beat it; 138.809998
Michael Jackson; Billie Jean; 117.169998
Michael Jackson; Black Or White; 114.919998
Michael Jackson; Can you feel it; 125.940002
Michael Jackson; Don't Stop 'til You Get Enough; 118.980003
Michael Jackson; Thriller; 118.489998
Michael Sembello; Maniac; 159.000000
Michael Zager Band; Let's all Chant; 121.919998
Michel Sardou; Afrique Adieu; 118.629997
Michel Sardou; Chanteur De Jazz; 122.570000
Michel Sardou; J'accuse; 139.429993
Michel Sardou; Rouge; 129.529999
Michel Sardou; Être Une Femme; 129.339996
Mickel D; J'attendrai; 124.519997
Midnight Oil; Beds Are Burning; 119.199997
Midnight Oil; Blue Sky Mine; 132.279999
Mike Olfield; Moonlight Shadow; 128.529999
Mirways; Miss you; 105.190002
Moby; Lift Me Up; 120.959999
Models; Fame; 134.259995
Modern Talking; Brother Louie; 108.949997
Modern Talking; Cheri Cheri Lady; 115.870003
Modern Talking; You're my Heart, You're my Soul; 117.370003
Modjo; Lady; 126.389999
Moon Martin; Bad News; 153.639999
Movie Music; Stars De La Pub; 130.809998
Muse; Starlight; 121.669998
Muse; Supermassive Black Hole; 120.000000
Muse; Thoughts of a Dying Atheist; 89.129997
Muse; Time is Running Out; 118.440002
Mylo; Drop the Pressure; 129.009995
Mylo; In my Arms; 120.000000
Mylène Farmer; Libertine; 134.259995
Mylène Farmer; Sans Contrefaçon; 130.979996
Nek; Laura Non C'e; 126.169998
Nena & Kim Wilde; Anyplace, Anywhere, Anytime; 83.519997
Nena; 99 Luftballon; 96.599998
New Order; Blue Monday; 130.289993
Niagara; Je Dois M'en Aller; 122.339996
Niagara; Tchiki Boum; 121.029999
Nirvana; Come As you Are; 121.160004
Nirvana; Lithium; 123.199997
No Doubt; It's my Life; 126.320000
Noe Willer; Toi, Femme Publique; 110.919998
Norman Gimbel and Charles Fox; Happy Days; 95.410004
Omc; Electricity; 162.699997
Omc; Enola Gay; 143.139999
Omc; How Bizarre; 124.949997
Ottawan; Disco; 123.000000
P. Lion; Dream; 107.279999
P. Lion; Happy Children; 113.300003
Pakito; Living on Video (Original Mix); 131.029999
Paris Avenue; I Want you (Radio Mix); 127.839996
Partenaire Particulier; Elle Est Partie; 152.250000
Partenaire Particulier; Je N'oublierai Jamais; 127.809998
Partenaire Particulier; Partenaire Particulier; 156.089996
Partenaire Particulier; Tiphaine; 148.000000
Pascal Obispo; Mourir Demain; 137.089996
Patrick Hernandez; Born to Be Alive; 132.809998
Patrick Juvet; Lady Night; 123.199997
Patrick Juvet; Où Sont Les Femmes ?; 123.489998
Paul Jonhson; Doo Doo Wap; 130.779999
Pauline Ester; Oui Je L'adore; 135.139999
Pet Shop Boys; Go West; 120.910004
Peter & Sloane; Besoin De Rien, Envie De Toi; 124.949997
Phil Collins; Easy Lover; 129.139999
Phil Collins; Two Hearts; 155.669998
Phil Collins; You Can't Hurry Love; 97.559998
Pierre Bachelet; Vingt-Ans; 137.229996
Pierre Groscolas; Lady Lay; 125.480003
Pills; Rock Me; 130.000000
Pink & Red Man; Get the Party Started; 128.949997
Pink Floyd; Another Brick in the Wall; 104.320000
Placebo; Every you Every Me; 133.039993
Placebo; The Bitter End; 92.849998
Plastic Bertrand; Ça Plane Pour Moi; 82.769997
Praise Cats; Shined on Me; 131.929993
Prince; Kiss; 111.449997
Propellerheads; History Repeating; 144.000000
Queen; Crazy Little Thing Called Love; 152.619995
Queen; Tie your Mother Down; 132.419998
Queen; Under Pressure; 120.029999
Queen; We are the champions; 97.589996
Queen; You Don't Fool Me; 121.940002
R.E.M.; Imitation of Life; 124.070000
R.E.M.; Losing my Religion; 125.440002
R.E.M.; Shiny Happy People; 125.000000
Ray Charles; Hit the Road Jack; 86.769997
Ray Charles; Shake a Tailfeather; 160.279999
Ray Parker Jr.; Ghostbusters; 115.699997
Red Hot Chili Peppers; By the Way; 120.690002
Red Hot Chili Peppers; Easily; 123.779999
Red Hot Chili Peppers; Otherside; 123.949997
Red Hot Chili Peppers; Parallel Universe; 126.410004
Renaud; Docteur Renaud, Mister Renard; 120.199997
Richard Anthony; Amoureux De Ma Femme; 134.750000
Rick Springfield; Human Touch; 134.589996
Ricky Martin; She Bangs; 143.889999
Ritchie Valens; La Bamba; 147.669998
Robert Palmer; Johnny & Mary; 152.669998
Roger Glover; Love is all; 113.199997
Roméo; Petite Conne; 125.989998
Room 5; Make Luv; 124.769997
Rose Laurens; Africa; 118.199997
Roxette; Stars (Almighty Single Version); 134.089996
Roy Orbison; Pretty Woman; 124.839996
Royal Gigolos; California Dreamin' (Tek House Single); 130.000000
Royal Gigolos; Get Arround; 130.669998
Sabine Paturel; Les Betises; 117.910004
Sabrina; Boys; 120.449997
Sam the Sham; Wooly Bully; 140.899994
Santa Esmeralda; Don't Let Me Be Misunderstood; 118.169998
Santana; Smooth; 116.379997
Scotch; Take Me Up (Remix); 116.269997
Shakira; Objection (Tango); 89.699997
Shania Twain; Man! I Feel Like a Woman!; 125.000000
Shania Twain; That Don't Impress Me Much; 125.019997
Shapeshifters; Lola's Theme; 126.449997
Sheila; Spacer; 135.979996
Sheryl Crow; All I Wanna Do; 120.089996
Sheryl Crow; Soak Up the Sun; 119.949997
Shivaree; Goodnight Moon; 112.839996
Shocking Blue; Venus; 129.619995
Silver Pozzoli; Around my Dream; 110.529999
Simon Et Les Modanais; Etoile Des Neiges; 150.720001
Sister Act; Just a Touch of Love; 121.169998
Sister Act; The Lounge Medley; 103.559998
Smokey Robinson & the Miracle; Going to a Go-Go; 129.029999
Soft Cell; Tainted Love; 145.470001
Sophie Ellis Bextor; Get Over you; 121.989998
Sophie Ellis Bextor; Murder on the Dancefloor; 117.320000
Star Academy; Paris Latino; 114.019997
Stargo; Life is Life; 100.250000
Starsailor; Four to the Floor; 123.000000
Starting Rock; Don't Go; 130.000000
Status Quo; Break the Rules; 133.449997
Status Quo; Burning Bridges; 131.119995
Status Quo; Caroline; 155.669998
Status Quo; Rockin' all Over the World; 131.360001
Status Quo; The Wanderer; 125.169998
Status Quo; Wathever you Want; 122.320000
Status Quo; What You're Proposing; 88.320000
Stephanie; Ouragan; 117.959999
Stevie Ray Vaughn; Say What; 132.589996
Stevie Wonder; Part Time Lover; 87.269997
Sting; Message in a Bottle; 151.039993
Sttellla; Torremolinos; 162.089996
Stupeflip; Les Cages En Métal; 142.029999
Sugar Hill Gang; Rapper'delight; 111.750000
Super Freack; Rick James; 132.199997
Supertramp; It's Raining Again; 121.230003
Survivor; Eye of the Tiger; 108.839996
Suzanne Vega; Luka; 124.949997
Sylvester & Patrick Cowley; Do you Wanna Funk; 130.089996
Sylvester; You Make Me Feel; 130.779999
Talk Talk; It's my Life; 126.339996
Talk Talk; Such a Shame; 111.500000
Tatu; All The Things She Said (Radio Version); 89.989998
Tatu; They're not gonna get us; 130.000000
Tavares; Heaven Must Be Missing An Angel; 117.339996
Taxi Girl; Chercher Le Garçon; 143.500000
Tears For Fears; Change; 125.169998
Tears For Fears; Shout (Us Remix); 98.419998
Texas; Black Eyed Boy; 119.129997
Texas; I Don't Want A Lover; 120.519997
Texas; Inner Smile; 106.019997
Texas; Summer Son; 127.169998
The B-52's; Love Shack; 133.580002
The Beach Boys & Status Quo; Fun Fun Fun; 83.660004
The Beach Boys; I Get Around; 152.000000
The Beatles; A Hard Day's Night; 132.449997
The Beatles; Get Back; 122.120003
The Beatles; Love Me Do; 145.479996
The Black Eyed Peas; Don't Phunk With my Heart; 130.860001
The Black Eyed Peas; Pump it; 153.539993
The Blues Brothers; Everybody Needs Somebody to Love; 97.059998
The Blues Brothers; Flip Flop and Fly; 91.129997
The Blues Brothers; Jailhouse Rock; 93.269997
The Cardigans; For What It's Worth; 126.269997
The Cardigans; Lovefool; 111.589996
The Cardigans; My Favourite Game; 143.419998
The Champs; Tequila; 90.239998
The Clash; London Calling; 133.979996
The Communards; Disenchanted; 136.869995
The Communards; Don't Leave Me this Way; 130.639999
The Communards; Never Can Say Goodbye; 132.779999
The Cranberries; Animal Instinct; 132.139999
The Cranberries; I Can't Be With you; 128.979996
The Crystals; Da Doo Ron Ron; 146.779999
The Darkness; I Believe in a Thing Called Love; 128.169998
The Knack; My Sharona; 147.919998
The Motors; Airport; 137.639999
The Offspring; Why Don't you Get a Job?; 107.949997
The Pointer Sisters; I'm so Excited; 91.160004
The Police; Every Breath you Take; 117.379997
The Rembrandts; I'll Be There For you; 95.300003
The Rolling Stones; Miss you; 109.779999
The Rolling Stones; Satisfaction; 136.839996
The Rolling Stones; Start Me Up; 122.059998
The Rolling Stones; Undercover of the Night; 122.730003
The Rubettes; Sugar Baby Love; 130.789993
The Trashmen; Surfin' Bird; 102.199997
The White Stripes; Seven Nation Army; 123.589996
Thierry Hazard; Le Jerk; 133.389999
Thierry Hazard; Poupée Psychédélique; 136.500000
Thierry Pastor; Le Coup De Folie; 118.980003
Thomas Falke; High Again; 128.000000
Tom Jones; Sex Bomb; 123.199997
Toto; Hold the Line; 96.190002
Trans-X; Living on Video; 131.089996
Trini Lopez; If I Had a Hammer; 85.029999
Téléphone; Ca (C'est Vraiment Toi); 139.970001
Téléphone; Cendrillon; 147.839996
Téléphone; Hygiaphone; 84.989998
Téléphone; New York Avec Toi; 161.949997
Téléphone; Quelque Chose En Toi; 139.759995
Téléphone; Un Autre Monde; 141.809998
U2; Elevation; 110.019997
U2; New Year's Day; 133.449997
U2; Pride (in the Name of Love); 105.959999
U2; Sunday Bloody Sunday; 100.750000
Ultravox; Dancing With Tears in my Eyes; 143.669998
Umberto Tozzi; Gloria; 131.839996
Un Gars, Une Fille; C'est Aussi Pour Ça Qu'on S'aime; 110.559998
Unknown; Mix Rock; 93.059998
Van Halen; Jump; 129.279999
Vanguarde; Gimme! Gimme! Gimme! (Midnight Mix); 130.119995
Vanguarde; Mamma Mia; 135.009995
Vengaboys; Boum Boum Boum; 139.059998
Village People; In the Navy; 126.559998
Village People; Macho Man; 133.139999
Village People; Ymca; 126.699997
Visage; Fade to Grey; 112.879997
Véronique Et Davina; Toutouyoutou; 140.979996
Wanda Jackson; Let's Have a Party; 152.529999
Water Boys; Highway to Hell; 114.690002
Water Boys; Just Can't Get Enough; 125.949997
Water Boys; Should I Slay Or Should I Go; 113.449997
Water Boys; Tainted Love; 149.919998
Water Boys; Walk Like An Egyptian; 103.099998
Water Boys; Wot; 99.949997
Weezer; Island in the Sun; 114.449997
Westlife; Uptown Girl; 129.009995
Wham!; Wake Me Up Before you Go-Go; 163.009995
Wilson Pickett; Land of 1000 Dances; 87.339996
Yannick; Ces Soirées Là; 105.160004
Yazoo; Don't Go; 126.230003
Yianna Katsoulos; Les Autres Sont Jaloux; 124.239998
ZZ Top; La Grange; 161.419998
Zucchero; Baila Morena; 120.019997
